"SHN_Id","Datnai","Sexe","Catlib","FedNom","Discipline","Club","DepLib","RegionLib","Fin de droits","Date début"
"shn00001","1996","F         ","Espoir","ATHLETISME","Concours","COQUELICOT 42*","LOIRE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn00002","2000","F         ","Jeune","SPORTS DE GLACE","Danse sur glace","LYON CSG  PATINOIRE CHARLEMAGNE","RHONE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn00003","1992","F         ","Espoir","AUTOMOBILE","Circuit","ASA ARMAGNAC BIGORRE","GERS","MIDI-PYRENEES","10/31/2015","11/1/2014"
"shn00004","2000","F         ","Espoir","GYMNASTIQUE","Tumbling","ACRO SARTHE","SARTHE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn00005","1996","M         ","Espoir","MOTOCYCLISME","Course sur route","C0065 - A.S.MOTO ARMAGNAC BIGORRE","GERS","MIDI-PYRENEES","10/31/2015","11/1/2014"
"shn00006","1998","F         ","Espoir","SKI","biathlon","SC FTROMEUP2","PYRENEES-ORIENTALES","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn00007","1999","F         ","Espoir","HANDBALL","Handball","AS PALENTE ","DOUBS","FRANCHE-COMTE","10/31/2015","11/1/2014"
"shn00008","1984","M         ","Elite","HANDBALL","Handball","PSG","PARIS","ILE-DE-FRANCE","10/31/2016","11/1/2014"
"shn00009","2000","M         ","Espoir","FOOTBALL","Football","PARIS UNIVERSITE CLUB","YVELINES","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn00010","1991","M         ","Senior","TAEKWONDO","Taekwondo","MONTPELLIER AGGLOMERATION TAEKWONDO - MATKD","HERAULT","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn00011","1995","F         ","Espoir","HANDBALL","Handball","NANTES LA","LOIRE-ATLANTIQUE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn00012","1992","F         ","Reconversion","TENNIS DE TABLE","Tennis de table","ENTENTE ST PIERRAISE","SEINE-MARITIME","HAUTE-NORMANDIE","10/31/2015","11/1/2014"
"shn00013","1997","M         ","Espoir","ATHLETISME","Courses sur piste","US NEMOURS ST PIERRE ATHLE","SEINE-ET-MARNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn00014","1997","F         ","Espoir","VOLLEY BALL","Volley ball"," UNION SPORT ISSOIRE VB","PUY-DE-DOME","AUVERGNE","10/31/2015","11/1/2014"
"shn00015","1988","M         ","Elite","SAVATE","Combat","SAK STRASBOURG (67)","BAS-RHIN","ALSACE","10/31/2017","4/1/2015"
"shn00016","1997","M         ","Espoir","CANOE-KAYAK","Course en ligne","S.P.N. VERNON","EURE","HAUTE-NORMANDIE","10/31/2015","11/1/2014"
"shn00017","1994","M         ","Jeune","CANOE-KAYAK","Course en ligne","S.P.N. VERNON","EURE","HAUTE-NORMANDIE","10/31/2015","11/1/2014"
"shn00018","1997","M         ","Jeune","JUDO","Judo","DOJO NANTAIS","LOIRE-ATLANTIQUE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn00019","1994","F         ","Jeune","JUDO","Judo","JUDO CLUB ESCALES","VAL-D'OISE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn00020","1996","F         ","Espoir","RUGBY","Rugby a xv","RACING NANTERRE RUGBY","HAUTS-DE-SEINE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn00021","1999","M         ","Espoir","ATHLETISME","Concours","LYON ATHLETISME*","RHONE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn00022","1990","M         ","Senior","BOXE","Boxe anglaise","CSL AULNAY SOUS BOIS","SEINE-SAINT-DENIS","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn00023","1992","F         ","Jeune","HANDBALL","Handball","TOULON ST CYR VAR HB","VAR","P.A.C.A.","10/31/2015","11/1/2014"
"shn00024","2001","M         ","Espoir","FOOTBALL","Football","FC NANTES","LOIRE-ATLANTIQUE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn00025","1998","M         ","Espoir","HANDBALL","Handball","NICE METROPOLE","ALPES-MARITIMES","P.A.C.A.","10/31/2015","11/1/2014"
"shn00026","2003","F         ","Espoir","GYMNASTIQUE","Gymnastique artistique","METZ GYM","MOSELLE","LORRAINE","10/31/2015","11/1/2014"
"shn00027","1993","M         ","Senior","SPORT BOULES","Sport boules","LAGNIEU","AIN","RHONE-ALPES","10/31/2015","11/1/2014"
"shn00028","1995","M         ","Jeune","SPORT BOULES","Sport boules","CRO LYON","RHONE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn00029","1997","M         ","Espoir","ATHLETISME","Concours","STADE NIORTAIS *","DEUX-SEVRES","POITOU-CHARENTES","10/31/2015","11/1/2014"
